epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,158.824,4.28047,5.13535,4.72329,0.05218,0.02192,0.02476,0.0065,4.78632,6.0108,5.26589,0.0001783,0.0001783,0.0001783
85,161.187,4.23622,5.26675,4.71934,0.05097,0.03371,0.01922,0.00601,4.70627,5.95128,5.1937,0.0001684,0.0001684,0.0001684
86,163.568,4.22618,5.12919,4.70119,0.06621,0.02401,0.02011,0.00648,4.69851,5.95908,5.18887,0.0001585,0.0001585,0.0001585
87,165.718,4.19857,5.16827,4.79908,0.06196,0.02384,0.02026,0.00633,4.70698,5.98974,5.20516,0.0001486,0.0001486,0.0001486
88,167.864,4.16635,5.15875,4.71896,0.04953,0.0396,0.01918,0.00624,4.73651,5.95713,5.20973,0.0001387,0.0001387,0.0001387
89,169.739,4.19207,5.06875,4.66584,0.04451,0.0182,0.02,0.00612,4.69611,5.91404,5.16325,0.0001288,0.0001288,0.0001288
90,171.537,4.21712,5.07483,4.65984,0.05098,0.02461,0.02526,0.00689,4.68182,5.85051,5.16195,0.0001189,0.0001189,0.0001189
91,174.184,4.09619,5.9019,4.96598,0.04533,0.02089,0.02718,0.00732,4.64899,5.78713,5.08023,0.000109,0.000109,0.000109
92,175.76,4.05588,5.78027,4.99724,0.06832,0.03319,0.02857,0.00771,4.60826,5.78556,5.05858,9.91e-05,9.91e-05,9.91e-05
93,177.334,4.00608,5.6281,4.82568,0.07576,0.04715,0.02756,0.00801,4.60228,5.75515,5.01337,8.92e-05,8.92e-05,8.92e-05
94,178.976,4.03932,5.57779,4.76387,0.09245,0.04607,0.02874,0.0087,4.57312,5.76755,4.99238,7.93e-05,7.93e-05,7.93e-05
95,180.613,3.99655,5.61798,4.97396,0.09693,0.04446,0.02991,0.00895,4.59473,5.7242,4.98413,6.94e-05,6.94e-05,6.94e-05
96,182.385,4.00689,5.58739,4.97019,0.08846,0.04125,0.03044,0.00911,4.59388,5.73268,4.99097,5.95e-05,5.95e-05,5.95e-05
97,184.296,4.01688,5.60175,4.8863,0.0851,0.03908,0.03056,0.00941,4.62827,5.71614,4.99025,4.96e-05,4.96e-05,4.96e-05
98,186.213,3.98935,5.61561,4.92644,0.10269,0.04177,0.03508,0.01004,4.6474,5.70511,5.00062,3.97e-05,3.97e-05,3.97e-05
99,188.268,4.06435,5.45281,4.81012,0.09364,0.04125,0.03333,0.00975,4.63896,5.72839,4.97634,2.98e-05,2.98e-05,2.98e-05
100,189.94,3.92728,5.41093,4.8576,0.09099,0.04604,0.03231,0.00956,4.61831,5.7492,4.97304,1.99e-05,1.99e-05,1.99e-05
