epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1826.19,2.02917,1.44693,2.76249,0.93155,0.9033,0.96558,0.71683,1.86968,0.90713,2.83256,0.0003566,0.0003566,0.0003566
85,1853,1.96867,1.42886,2.76404,0.92604,0.89602,0.96418,0.7134,1.90417,0.95003,2.8775,0.0003368,0.0003368,0.0003368
86,1875.68,1.985,1.42489,2.73136,0.9073,0.92257,0.96483,0.72794,1.82316,0.89312,2.786,0.000317,0.000317,0.000317
87,1898.29,1.99137,1.44221,2.7268,0.91478,0.9024,0.96542,0.72356,1.84385,0.93061,2.81993,0.0002972,0.0002972,0.0002972
88,1918.19,1.97356,1.40739,2.74389,0.92943,0.90331,0.97088,0.72755,1.86628,0.89298,2.84531,0.0002774,0.0002774,0.0002774
89,1945.57,1.97561,1.39983,2.71321,0.92437,0.91937,0.96575,0.72457,1.82604,0.90709,2.81147,0.0002576,0.0002576,0.0002576
90,1966.24,1.9167,1.37141,2.68557,0.9114,0.92035,0.96948,0.7319,1.83511,0.8828,2.81861,0.0002378,0.0002378,0.0002378
91,1988.97,1.73195,1.03397,2.63577,0.95324,0.88717,0.96801,0.72863,1.80483,0.88828,2.79753,0.000218,0.000218,0.000218
92,2009.72,1.67828,0.95086,2.61209,0.93808,0.905,0.97341,0.72967,1.81184,0.85894,2.79487,0.0001982,0.0001982,0.0001982
93,2029.14,1.66564,0.92654,2.58357,0.90478,0.94248,0.97684,0.73433,1.79982,0.84366,2.79485,0.0001784,0.0001784,0.0001784
94,2053.36,1.65761,0.91231,2.58441,0.95834,0.92257,0.97936,0.73956,1.80021,0.82047,2.78057,0.0001586,0.0001586,0.0001586
95,2073.99,1.60829,0.87397,2.54886,0.93757,0.91372,0.97685,0.74148,1.77478,0.84698,2.75373,0.0001388,0.0001388,0.0001388
96,2093.71,1.58369,0.88971,2.52436,0.94071,0.91266,0.97802,0.74311,1.7611,0.82885,2.74943,0.000119,0.000119,0.000119
97,2113.73,1.58406,0.86926,2.51779,0.9364,0.91814,0.97793,0.74514,1.74222,0.8315,2.73287,9.92e-05,9.92e-05,9.92e-05
98,2133.46,1.57316,0.83856,2.51843,0.94051,0.90934,0.97782,0.74704,1.73655,0.82333,2.72264,7.94e-05,7.94e-05,7.94e-05
99,2152.97,1.56007,0.83353,2.50311,0.94529,0.9175,0.97776,0.7467,1.74436,0.81908,2.74265,5.96e-05,5.96e-05,5.96e-05
100,2172.35,1.55956,0.81266,2.49653,0.94576,0.92582,0.97975,0.75136,1.73446,0.79537,2.72895,3.98e-05,3.98e-05,3.98e-05
