epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,647.076,2.249,1.68757,2.92342,0.87788,0.8208,0.9182,0.63755,2.19,1.32796,3.12993,0.0012608,0.0012608,0.0012608
58,669.242,2.27531,1.71261,2.94429,0.84711,0.74772,0.87233,0.59756,2.26021,1.49307,3.22633,0.0012476,0.0012476,0.0012476
59,680.092,2.22618,1.63684,2.93671,0.83537,0.83073,0.90865,0.62844,2.25759,1.31339,3.21725,0.0012344,0.0012344,0.0012344
60,691.071,2.20291,1.64583,2.92238,0.83903,0.89947,0.92846,0.64307,2.19168,1.21885,3.16576,0.0012212,0.0012212,0.0012212
61,703.015,2.30896,1.6974,2.99189,0.79056,0.84735,0.8936,0.63419,2.09747,1.33021,3.07222,0.001208,0.001208,0.001208
62,714.396,2.19435,1.62633,2.89121,0.87758,0.84059,0.92217,0.65141,2.11795,1.20293,3.05039,0.0011948,0.0011948,0.0011948
63,726.133,2.19771,1.64886,2.89494,0.82731,0.84513,0.90125,0.61951,2.19502,1.34257,3.15589,0.0011816,0.0011816,0.0011816
64,738.318,2.18157,1.59942,2.879,0.89288,0.8208,0.92037,0.65524,2.14982,1.31339,3.15026,0.0011684,0.0011684,0.0011684
65,750.289,2.14808,1.59214,2.87314,0.86629,0.88866,0.93869,0.67393,2.05477,1.15212,3.03803,0.0011552,0.0011552,0.0011552
66,763.087,2.14362,1.55377,2.85102,0.87783,0.84513,0.92315,0.63317,2.14886,1.24277,3.09733,0.001142,0.001142,0.001142
67,775.771,2.13156,1.57857,2.85492,0.85394,0.87956,0.94477,0.68496,2.03897,1.08255,2.99415,0.0011288,0.0011288,0.0011288
68,786.912,2.15436,1.56126,2.8611,0.86078,0.86062,0.93035,0.66314,2.1111,1.15231,3.07903,0.0011156,0.0011156,0.0011156
69,802.734,2.12552,1.54115,2.85001,0.88507,0.84956,0.9386,0.65311,2.152,1.21236,3.0926,0.0011024,0.0011024,0.0011024
70,814.48,2.09089,1.5007,2.80876,0.89607,0.86726,0.94234,0.66276,2.07662,1.15887,3.04401,0.0010892,0.0010892,0.0010892
71,825.792,2.13315,1.55769,2.82256,0.88846,0.82965,0.93047,0.66634,2.0325,1.17894,2.97954,0.001076,0.001076,0.001076
72,839.216,2.05398,1.50301,2.80532,0.84115,0.83175,0.90489,0.64658,2.10993,1.21427,3.09613,0.0010628,0.0010628,0.0010628
